end,start,title,longitude,latitude
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ÉNERGIES RENOUVELABLES : L'HEURE DES CHOIX,-73.53624,45.51708
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,POUR BOIRE IL FAUT VENDRE. LA PUBLICITÉ ET LA BIÈRE BLACK HORSE AU 20E SIÈCLE,-73.66602,45.42942
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,UNE OEUVRE DE MISÉRICORDE : AIDER PLUTÔT QUE JUGER, 1845-...,-73.71975,45.53467
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LES SIÈCLES DE L'IMAGE - LA COLLECTION PERMANENTE, DU 15E SIÈCLE À NOS JOURS,-73.43579,46.02444
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ART INUIT,-73.57988,45.49855
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ART INTERNATIONAL ANCIEN ET MODERNE,-73.57988,45.49855
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,SCIENCE 26,-73.55316,45.49948
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LES INDUSTRIES DISPARUES DU CANAL DE LACHINE,-73.66920,45.43159
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ARCHÉOLOGIE MÉDITERRANÉENNE,-73.57988,45.49855
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,PLEIN LES SENS,-73.53624,45.51708
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,CULTURE DU MONDE ,-73.57988,45.49855
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ART QUÉBÉCOIS ET CANADIEN,-73.57988,45.49855
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ÉCOLAB,-73.53624,45.51708
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,O.N.E : OBJETS NON ENFOUIS,-73.53624,45.51708
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,HOCHELAGA, VILLE-MARIE ET MONTRÉAL,-73.55330,45.50876
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,CARREFOUR - LE HAUT-RICHELIEU, DES ORIGINES À NOS JOURS,-73.25351,45.30538
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,LE MONT ROYAL, UN TERRITOIRE-EXPOSITION,-73.59323,45.50160
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,NAPOLÉON -  DON DE LA COLLECTION BEN WEIDER AU MUSÉE DES BEAUX-ARTS DE MONTRÉAL
,-73.57988,45.49855
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,L'APOGÉE DU COMMERCE DES FOURRURES,-73.67558,45.43178
